latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
36.66336,-120.13248,295.21,0.39,0.36,2025-01-01,0956,N,VIIRS,n,2,273.27,0.51,N,0
34.33651,-118.51728,307.88,0.46,0.39,2025-01-01,0957,N,VIIRS,n,2,281.24,0.45,N,2
34.33296,-118.5182,297.23,0.46,0.39,2025-01-01,0957,N,VIIRS,n,2,279.87,0.45,N,2
34.32046,-118.5112,303.93,0.46,0.39,2025-01-01,0957,N,VIIRS,n,2,281.34,0.76,N,2
34.29161,-118.80418,295.61,0.45,0.39,2025-01-01,0957,N,VIIRS,n,2,275.31,0.72,N,2
34.29074,-118.79946,299.71,0.45,0.39,2025-01-01,0957,N,VIIRS,n,2,276.14,0.74,N,2
34.15363,-118.19259,301.33,0.47,0.4,2025-01-01,0957,N,VIIRS,n,2,268.17,0.37,N,2
34.07433,-118.54561,333.45,0.46,0.39,2025-01-01,0957,N,VIIRS,n,2,295.42,29.17,N,0
34.07588,-118.54195,329.11,0.46,0.39,2025-01-01,0957,N,VIIRS,n,2,288.1,3.84,N,0
34.0768,-118.5469,298.78,0.46,0.39,2025-01-01,0957,N,VIIRS,n,2,280.69,3.84,N,0
34.0723,-118.54277,329.22,0.46,0.39,2025-01-01,0957,N,VIIRS,n,2,290.23,14.37,N,0
34.07322,-118.54768,303.67,0.46,0.39,2025-01-01,0957,N,VIIRS,n,2,280.86,14.37,N,0
32.50974,-116.76946,298.45,0.39,0.44,2025-01-01,0957,N,VIIRS,n,2,276.41,0.73,N,2
32.4651,-117.01012,298.68,0.57,0.43,2025-01-01,0957,N,VIIRS,n,2,278.74,0.61,N,0
35.57347,-120.77594,330.32,0.45,0.39,2025-01-01,2117,N,VIIRS,n,2,291.22,2.68,D,0
35.57504,-120.77412,327.79,0.45,0.39,2025-01-01,2117,N,VIIRS,n,2,289.96,2.19,D,0
34.62278,-117.10183,303.78,0.38,0.36,2025-01-02,0938,N,VIIRS,n,2,273.48,0.96,N,2
34.60892,-117.33771,301.39,0.38,0.36,2025-01-02,0938,N,VIIRS,n,2,275.84,1.1,N,2
34.35495,-116.85143,300.27,0.39,0.36,2025-01-02,0938,N,VIIRS,n,2,274.82,0.83,N,2
34.42887,-118.64507,312.24,0.39,0.36,2025-01-02,0938,N,VIIRS,n,2,274.14,1.06,N,2
34.33634,-118.51832,300.68,0.39,0.36,2025-01-02,0938,N,VIIRS,n,2,277.1,0.6,N,2
34.33302,-118.51905,297.7,0.39,0.36,2025-01-02,0938,N,VIIRS,n,2,276.25,0.6,N,2
34.14189,-117.42835,297.66,0.38,0.36,2025-01-02,0938,N,VIIRS,n,2,280.15,0.57,N,2
34.24402,-118.38215,298.79,0.39,0.36,2025-01-02,0938,N,VIIRS,n,2,275.4,0.49,N,2
34.29242,-118.80399,303.19,0.39,0.36,2025-01-02,0938,N,VIIRS,n,2,271.97,1.23,N,2
33.87635,-116.99834,295.04,0.39,0.36,2025-01-02,0938,N,VIIRS,n,2,279.92,0.27,N,2
34.03677,-118.10543,297.4,0.39,0.36,2025-01-02,0938,N,VIIRS,n,2,278.17,0.41,N,2
33.79233,-117.47397,297.05,0.38,0.36,2025-01-02,0938,N,VIIRS,n,2,276.94,0.74,N,2
33.90489,-118.40398,297.92,0.39,0.36,2025-01-02,0938,N,VIIRS,n,2,284.92,0.61,N,2
33.85425,-118.33131,300.62,0.39,0.36,2025-01-02,0938,N,VIIRS,n,2,287.66,1.03,N,2
33.85093,-118.33202,298.93,0.39,0.36,2025-01-02,0938,N,VIIRS,n,2,284.1,1.03,N,2
33.8205,-118.24411,303.55,0.39,0.36,2025-01-02,0938,N,VIIRS,n,2,286.43,1.09,N,2
33.71453,-117.71165,295.14,0.38,0.36,2025-01-02,0938,N,VIIRS,n,2,277.35,0.73,N,2
33.77827,-118.23616,302.89,0.39,0.36,2025-01-02,0938,N,VIIRS,n,2,287.28,1.17,N,2
33.79191,-118.34904,299.21,0.39,0.36,2025-01-02,0938,N,VIIRS,n,2,279.92,0.43,N,2
33.61284,-117.8223,307.47,0.38,0.36,2025-01-02,0938,N,VIIRS,n,2,279.29,0.73,N,2
33.49304,-117.61829,302.73,0.38,0.36,2025-01-02,0938,N,VIIRS,n,2,279.62,0.65,N,2
32.85795,-117.02814,302.4,0.39,0.36,2025-01-02,0939,N,VIIRS,n,2,277.14,0.82,N,2
32.85695,-117.14771,304.54,0.39,0.36,2025-01-02,0939,N,VIIRS,n,2,275.39,0.62,N,2
32.59988,-117.01178,302.27,0.39,0.36,2025-01-02,0939,N,VIIRS,n,2,278.02,1.04,N,2
32.49916,-116.78956,313.33,0.39,0.36,2025-01-02,0939,N,VIIRS,n,2,279.13,1.27,N,2
32.49609,-116.83327,331.9,0.39,0.36,2025-01-02,0939,N,VIIRS,n,2,283.09,3.4,N,0
32.50368,-116.74838,338.8,0.41,0.37,2025-01-02,2057,N,VIIRS,n,2,308.61,3.12,D,0
35.64024,-120.37952,333.69,0.39,0.36,2025-01-02,2058,N,VIIRS,n,2,293.51,2.28,D,0
35.66314,-120.87077,325.23,0.39,0.36,2025-01-02,2058,N,VIIRS,n,2,294.55,1.61,D,0
35.88494,-120.46639,328.26,0.39,0.36,2025-01-02,2058,N,VIIRS,n,2,291.2,2.9,D,0
35.88885,-120.90615,329.71,0.39,0.36,2025-01-02,2058,N,VIIRS,n,2,293.35,0.97,D,0
36.24707,-121.12506,332.2,0.39,0.36,2025-01-02,2058,N,VIIRS,n,2,295.6,2.57,D,0
34.43092,-118.64454,303.1,0.39,0.44,2025-01-03,0919,N,VIIRS,n,2,272.37,1.06,N,2
32.85882,-117.02984,296.17,0.47,0.4,2025-01-03,0920,N,VIIRS,n,2,274.67,0.56,N,2
35.55999,-120.53933,325.92,0.55,0.43,2025-01-03,2039,N,VIIRS,n,2,293.11,4.54,D,0
35.64153,-120.37589,330.65,0.54,0.42,2025-01-03,2039,N,VIIRS,n,2,293.25,4.56,D,0
34.42838,-118.6472,295.2,0.36,0.57,2025-01-04,0900,N,VIIRS,n,2,272.08,0.61,N,2
32.49836,-116.83515,307.6,0.51,0.66,2025-01-05,0842,N,VIIRS,n,2,280.17,1.21,N,0
32.49929,-116.83259,304.07,0.51,0.66,2025-01-05,0842,N,VIIRS,n,2,280.4,0.96,N,0
34.61061,-117.33557,317.19,0.36,0.57,2025-01-05,1022,N,VIIRS,n,2,274.07,1.5,N,2
34.6116,-117.3336,296.02,0.36,0.57,2025-01-05,1022,N,VIIRS,n,2,271.63,0.75,N,0
34.60639,-117.33517,303.14,0.36,0.57,2025-01-05,1022,N,VIIRS,n,2,270.05,0.73,N,2
34.35477,-116.85044,296.66,0.39,0.59,2025-01-05,1022,N,VIIRS,n,2,274.91,0.9,N,2
34.43159,-118.64143,295.82,0.62,0.54,2025-01-05,1022,N,VIIRS,n,2,274.86,1.35,N,2
34.15625,-118.1916,308.73,0.33,0.55,2025-01-05,1022,N,VIIRS,n,2,277.62,1.03,N,2
34.154,-118.19278,306.25,0.33,0.55,2025-01-05,1022,N,VIIRS,n,2,278.64,0.96,N,2
33.85339,-118.33127,306.38,0.33,0.55,2025-01-05,1022,N,VIIRS,n,2,286.03,1.48,N,2
33.85522,-118.33006,303.5,0.33,0.55,2025-01-05,1022,N,VIIRS,n,2,285.8,1.51,N,2
33.82287,-118.24171,298.43,0.33,0.56,2025-01-05,1022,N,VIIRS,n,2,284.39,1.06,N,2
33.77424,-118.28625,295.11,0.33,0.56,2025-01-05,1022,N,VIIRS,n,2,283.71,0.61,N,0
33.61345,-117.82207,295.74,0.36,0.57,2025-01-05,1022,N,VIIRS,n,2,273.38,0.26,N,2
32.49709,-116.83318,297.39,0.43,0.62,2025-01-05,1023,N,VIIRS,n,2,277.3,0.59,N,0
32.39693,-116.51929,331.49,0.43,0.62,2025-01-05,2001,N,VIIRS,n,2,287.7,3.06,D,0
32.13091,-116.88313,325.11,0.49,0.65,2025-01-05,2141,N,VIIRS,n,2,285.06,1.51,D,0
32.39428,-116.52434,367,0.52,0.67,2025-01-05,2141,N,VIIRS,h,2,297.68,12.78,D,0
32.39453,-116.51915,341.99,0.52,0.67,2025-01-05,2141,N,VIIRS,n,2,293.28,12.78,D,0
32.40074,-116.52,345.11,0.52,0.67,2025-01-05,2141,N,VIIRS,n,2,292.84,10.24,D,0
37.02586,-120.19771,308.24,0.42,0.38,2025-01-06,1003,N,VIIRS,n,2,276.95,1.02,N,0
34.62233,-117.0992,308.36,0.41,0.45,2025-01-06,1003,N,VIIRS,n,2,279.13,0.91,N,2
34.60887,-117.3372,319.4,0.4,0.44,2025-01-06,1003,N,VIIRS,n,2,279.37,1.78,N,2
34.60934,-117.33478,319.43,0.4,0.44,2025-01-06,1003,N,VIIRS,n,2,278.64,2.43,N,2
34.35388,-116.85399,300.78,0.43,0.46,2025-01-06,1003,N,VIIRS,n,2,277.93,1.16,N,2
34.4297,-118.64449,307.11,0.52,0.42,2025-01-06,1003,N,VIIRS,n,2,279.17,1.51,N,2
34.4319,-118.64488,304.65,0.52,0.42,2025-01-06,1003,N,VIIRS,n,2,279.5,1.48,N,2
34.14175,-117.42699,300.88,0.4,0.45,2025-01-06,1003,N,VIIRS,n,2,282.81,0.37,N,2
34.33466,-118.51923,308.32,0.53,0.42,2025-01-06,1003,N,VIIRS,n,2,282.58,1.35,N,2
34.32089,-118.51084,299.2,0.53,0.42,2025-01-06,1003,N,VIIRS,n,2,282.9,0.77,N,2
34.29387,-118.80373,304.71,0.52,0.41,2025-01-06,1003,N,VIIRS,n,2,283.24,0.94,N,2
34.1531,-118.19032,312.89,0.56,0.43,2025-01-06,1003,N,VIIRS,n,2,284.3,2.09,N,2
34.04209,-117.82087,295.55,0.39,0.44,2025-01-06,1003,N,VIIRS,n,2,280.76,0.29,N,2
33.79601,-117.47566,304.1,0.41,0.45,2025-01-06,1003,N,VIIRS,n,2,273.91,0.54,N,2
33.85241,-118.32965,297.03,0.55,0.43,2025-01-06,1004,N,VIIRS,n,2,285.32,0.88,N,2
33.71487,-117.71106,295.23,0.4,0.44,2025-01-06,1004,N,VIIRS,n,2,280.62,0.42,N,2
33.79537,-118.2331,296.91,0.56,0.43,2025-01-06,1004,N,VIIRS,n,2,285.9,0.88,N,0
