latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
34.35443,-116.85309,303.3,0.39,0.36,2025-01-01,0932,N21,VIIRS,n,2.0NRT,277.12,1.4,N
34.4299,-118.64671,297.1,0.43,0.38,2025-01-01,0932,N21,VIIRS,n,2.0NRT,264.7,0.56,N
34.14202,-117.42586,306.28,0.4,0.37,2025-01-01,0932,N21,VIIRS,n,2.0NRT,281.2,0.58,N
34.2437,-118.38141,296.45,0.42,0.38,2025-01-01,0932,N21,VIIRS,n,2.0NRT,269.38,0.57,N
34.29257,-118.80392,295.67,0.43,0.38,2025-01-01,0932,N21,VIIRS,n,2.0NRT,264.76,0.36,N
34.15178,-118.19499,310.09,0.41,0.37,2025-01-01,0932,N21,VIIRS,n,2.0NRT,280.81,1.01,N
34.07676,-118.544,296.21,0.42,0.38,2025-01-01,0932,N21,VIIRS,n,2.0NRT,280.79,0.81,N
34.07334,-118.54476,329.76,0.42,0.38,2025-01-01,0932,N21,VIIRS,n,2.0NRT,309.22,50.07,N
34.07396,-118.54937,299.47,0.42,0.38,2025-01-01,0932,N21,VIIRS,n,2.0NRT,278.89,4.16,N
34.06992,-118.54556,299.75,0.42,0.38,2025-01-01,0932,N21,VIIRS,n,2.0NRT,281,50.07,N
33.58456,-116.02528,295.56,0.38,0.36,2025-01-01,0932,N21,VIIRS,n,2.0NRT,280.28,0.71,N
33.79534,-117.47569,297.79,0.4,0.37,2025-01-01,0932,N21,VIIRS,n,2.0NRT,275.99,1.4,N
33.71655,-117.70934,300.22,0.4,0.37,2025-01-01,0934,N21,VIIRS,n,2.0NRT,274.66,0.61,N
33.10213,-116.12675,297.21,0.38,0.36,2025-01-01,0934,N21,VIIRS,n,2.0NRT,277.96,0.6,N
32.85916,-117.03027,295.96,0.39,0.36,2025-01-01,0934,N21,VIIRS,n,2.0NRT,279.54,0.65,N
32.59726,-117.01036,302.85,0.39,0.36,2025-01-01,0934,N21,VIIRS,n,2.0NRT,278.56,0.53,N
32.50963,-116.76872,310.12,0.38,0.36,2025-01-01,0934,N21,VIIRS,n,2.0NRT,277.02,0.79,N
32.4719,-116.81023,296.57,0.38,0.36,2025-01-01,0934,N21,VIIRS,n,2.0NRT,278.45,0.75,N
34.33519,-118.51933,329.86,0.39,0.36,2025-01-01,2053,N21,VIIRS,n,2.0NRT,301.65,1.66,D
34.29337,-118.8006,330.58,0.39,0.36,2025-01-01,2053,N21,VIIRS,n,2.0NRT,299.96,2.26,D
34.4315,-118.644,327.5,0.39,0.36,2025-01-01,2053,N21,VIIRS,l,2.0NRT,301.33,1.92,D
32.06999,-116.63242,333.56,0.38,0.36,2025-01-01,2053,N21,VIIRS,n,2.0NRT,302.01,2.23,D
34.33606,-118.52146,295.46,0.47,0.48,2025-01-02,0913,N21,VIIRS,n,2.0NRT,272.07,0.85,N
